award_date,awardee_name,agency,award_amount,naics,sole_source,filter_result,filter_reason,first_8k_date,first_pr_date,last_dilutive_filing_date,dilutive_filing_type,agency_prior_win_count,ticker_confidence,score,ticker,market_cap,value_to_mcap_pct,entry_date,entry_price,exit_date,exit_price,exit_reason,pnl_pct,hit_tp,hit_sl,timed_out,tp_target,sl_target,return_t7,peak_pnl_pct
2023-03-08,"AXIOM RESOURCE MANAGEMENT, INC.",Department of Defense,18161292.57,541511,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,HUNTINGTON INGALLS INC,Department of Defense,49099298.0,336611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-21,HONEYWELL INTERNATIONAL INC.,Department of Defense,1509368.84,336412,False,fail,Historical market cap $101229M exceeds $1000M limit,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-06,"CONTINENTAL MARITIME OF SAN DIEGO, LLC",Department of Defense,37476479.46,336611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-30,"MICHAEL STAPLETON ASSOCIATES, LTD.",Department of State,38280356.58,541690,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-31,WALSH FEDERAL LLC,Department of Defense,141178000.0,236220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,VERTEX AEROSPACE LLC,Department of Defense,64604569.09,488190,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-23,HONEYWELL INTERNATIONAL INC.,Department of Defense,2701627.67,336412,False,fail,Historical market cap $98983M exceeds $1000M limit,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-27,"RDC+EA, L.L.L.P.",Department of Veterans Affairs,1467446.6,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-31,NEXT LEVEL RELIEF LLC,Department of Defense,2461337.36,722310,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,AM EXCAVATING LLC,Department of Agriculture,3038560.98,237310,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,GCH CONSTRUCTION COMPANY,Department of Veterans Affairs,15846640.0,236220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"AGILE DECISION SCIENCES, LLC",Environmental Protection Agency,1306719.52,541990,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-30,"MAKWA GLOBAL SECURITY SOLUTIONS, LLC",Department of State,2139387.55,541611,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,BETHEL ENGINEERING & CONSULTING LLC,Department of Defense,3738345.32,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-09,LOYALTY SUPPORT SERVICES,Department of Defense,60712760.62,561210,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,"YUKON FIRE PROTECTION SERVICES, INC.",Social Security Administration,5917867.92,561210,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-24,HOSPITAL HOUSEKEEPING SYSTEMS LLC,General Services Administration,5066458.88,561210,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-28,"COLUMBIA HELICOPTERS, INC.",Department of Defense,24905512.92,481211,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-28,YOUNG GUN CONSTRUCTION LLC,Department of Agriculture,3114551.96,562910,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,QTC MEDICAL SERVICES INC,Department of Defense,1500000.0,621112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-30,"THE CHARLES STARK DRAPER LABORATORY, INC.",Department of Defense,3022845.0,541715,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,MACCS-EASI JV 1 LLC,Department of Defense,3821858.81,488190,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-28,DILLIGAS CORP,Department of Defense,2375723.56,622110,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-27,DELL FEDERAL SYSTEMS L.P,Department of Homeland Security,27914102.18,541519,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"TECH-MARINE BUSINESS, INC",Department of Defense,60582224.8,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,TRIPLE CANOPY INC,Department of Homeland Security,7961048.51,561612,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-15,CONFLICT KINETICS CORPORATION,Department of Defense,2633477.61,541330,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-06,"L3 TECHNOLOGIES, INC.",Department of Defense,2441099.05,811213,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"INMARSAT GOVERNMENT, INC.",Department of Defense,2325255.8,517410,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-23,DELOITTE & TOUCHE LLP,Department of the Treasury,3498932.43,541519,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,TUVLI LLC,Department of State,13844899.7,541990,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"CCI FACILITY SUPPORT SERVICES, LLC",Department of Defense,1814933.26,236220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-15,J & J MAINTENANCE INC,Department of Defense,2713456.73,561210,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"TEKLA RESEARCH, INC.",Department of Defense,5451211.07,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-06,LOPEZ CARLOS L,Department of Veterans Affairs,3283686.0,624221,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-31,"RUCHMAN AND ASSOCIATES, INC.",Department of Justice,12206454.4,541611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"PEOPLE, TECHNOLOGY AND PROCESSES, LLC",Department of Defense,1088431.34,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-07,ENVIRONMENTAL RESTORATION LLC,Environmental Protection Agency,2051493.09,562910,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-28,TEXTRON AVIATION INC,Department of Defense,4612062.0,336411,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-29,BERGLUND CONSTRUCTION CO,General Services Administration,3157916.71,236220,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,SCIOLEX CORPORATION,Department of Homeland Security,25239855.0,561110,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-21,CHAINBRIDGE SOLUTIONS INCORPORATED,Department of Housing and Urban Development,1071692.09,541519,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-03,HONEYWELL INTERNATIONAL INC.,Department of Defense,74843913.82,336992,True,fail,Historical market cap $104226M exceeds $1000M limit,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-31,"SEVENSON ENVIRONMENTAL SERVICES, INC.",Department of Defense,10293654.34,562910,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,QTC MEDICAL SERVICES INC,Department of Defense,6300000.0,621112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"JAVA PRODUCTIONS, INC.",Department of Homeland Security,1380734.59,541611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-20,"PALOMAR PRODUCTS, INC.",Department of Defense,4644583.55,334220,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-30,SERCO INC,Department of Homeland Security,1683443.14,541611,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-27,KRIMA CONSTRUCTION CORP.,Department of Defense,9266416.49,236220,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"YULISTA SOLUTIONS, LLC",National Aeronautics and Space Administration,19398300.99,488190,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-27,GENERAL ATOMICS,Department of Defense,3998331.8,336413,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,QTC MEDICAL SERVICES INC,Department of Defense,40894518.9,621112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-10,MAG DS CORP,Department of Defense,59335583.3,541712,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,RIVERSIDE RESEARCH INSTITUTE,Department of Defense,9081962.0,541990,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-20,STORAGE STRATEGIES INC,Department of Defense,5729758.0,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"SCIENCE AND ENGINEERING SERVICES, LLC",Department of Defense,13368280.72,336411,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-15,INDUS TECHNOLOGY INC,Department of Defense,71913727.0,541330,False,fail,Historical market cap $4248M exceeds $1000M limit,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-01,"A & T SYSTEMS, INC.",Department of Defense,2979001.53,517110,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,"CHALLENGE UNLIMITED, INC.",Department of Defense,2696390.84,561720,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-27,"INSITU, INC.",Department of Defense,7817161.84,541330,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-20,TEXAS A&M ENGINEERING EXPERIMENT STATION,National Aeronautics and Space Administration,2000000.0,541715,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-10,"OCEAN SELECT SEAFOOD, L.L.C.",Department of Agriculture,9682400.0,311710,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-10,"NORTH WIND SITE SERVICES, LLC",Department of the Interior,1272112.43,213112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-16,"PRECISE SYSTEMS, INC.",Department of Defense,25385210.93,541330,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-31,"1PROSPECT TECHNOLOGIES, LLC",Department of Defense,5177681.04,541513,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-10,"SIERRA NEVADA COMPANY, LLC",General Services Administration,1589836.07,511210,True,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-02,CANADIAN COMMERCIAL CORPORATION,Department of Defense,31609210.0,332993,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-16,"PMX INDUSTRIES, INC.",Department of the Treasury,19110142.84,331420,False,fail,No historical market cap data,,,,,0,high,,,,,,,,,,,,,,,,,
2023-03-01,QTC MEDICAL SERVICES INC,Department of Defense,1980035.4,621112,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-01,MIRACORP INC,Department of Homeland Security,3332982.3,561110,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-21,"NISGA'A TEK, LLC",Department of Defense,1152661.6,541990,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
2023-03-13,"HART TECHNOLOGIES, INC.",Department of Defense,1750376.0,334418,False,fail,Ticker confidence 'none' below minimum 'medium',,,,,0,none,,,,,,,,,,,,,,,,,
