trades,win_rate,avg_pnl_pct,total_pnl_pct,expectancy,profit_factor,avg_win,avg_loss,avg_peak_pnl,avg_return_t7,peak_pnl_pct,max_drawdown_pct,tp_pct,sl_pct,score_threshold,max_hold_days,max_mcap_M
26,26.9,-0.464,-12.08,-0.4645,0.681,3.675,1.99,4.76,0.0,4.27,15.63,5.0,2.0,5,3,200
33,30.3,-0.21,-6.94,-0.2102,0.847,3.854,1.977,4.49,0.0,4.27,10.49,5.0,2.0,5,3,300
49,30.6,-0.354,-17.35,-0.3541,0.764,3.747,2.163,4.24,0.0,4.27,19.34,5.0,2.0,5,3,500
81,24.7,-1.008,-81.62,-1.0077,0.434,3.127,2.363,3.02,0.0,4.27,82.08,5.0,2.0,5,3,1000
20,30.0,-0.005,-0.1,-0.0049,0.996,4.271,1.837,40.39,0.0,4.27,8.72,5.0,2.0,5,4,100
23,30.4,-0.052,-1.2,-0.0523,0.961,4.271,1.944,35.63,0.0,4.27,8.72,5.0,2.0,5,4,150
26,26.9,-0.33,-8.58,-0.33,0.777,4.271,2.025,31.53,0.0,4.27,12.13,5.0,2.0,5,4,200
33,33.3,-0.054,-1.78,-0.0538,0.961,3.934,2.048,25.62,0.0,4.27,9.92,5.0,2.0,5,4,300
49,32.7,-0.155,-7.61,-0.1553,0.895,4.039,2.189,18.52,0.0,4.27,14.9,5.0,2.0,5,4,500
81,24.7,-0.892,-72.23,-0.8917,0.502,3.634,2.375,11.71,0.0,4.27,75.39,5.0,2.0,5,4,1000
20,35.0,0.221,4.42,0.2209,1.173,4.271,1.96,40.47,0.0,4.27,8.72,5.0,2.0,5,5,100
23,34.8,0.144,3.31,0.144,1.107,4.271,2.057,35.7,0.0,4.27,8.72,5.0,2.0,5,5,150
26,30.8,-0.136,-3.54,-0.1361,0.906,4.271,2.095,31.61,0.0,4.27,8.72,5.0,2.0,5,5,200
33,36.4,0.099,3.26,0.0989,1.074,3.962,2.108,25.68,0.0,4.27,9.92,5.0,2.0,5,5,300
49,34.7,-0.052,-2.57,-0.0525,0.964,4.053,2.233,18.56,0.0,4.27,13.76,5.0,2.0,5,5,500
81,27.2,-0.739,-59.85,-0.7388,0.585,3.827,2.441,11.8,0.0,4.27,63.01,5.0,2.0,5,5,1000
20,35.0,0.083,1.66,0.0829,1.059,4.271,2.172,40.6,0.0,4.27,10.75,5.0,2.0,5,7,100
23,34.8,0.024,0.55,0.0241,1.016,4.271,2.241,35.81,0.0,4.27,10.75,5.0,2.0,5,7,150
26,30.8,-0.225,-5.86,-0.2252,0.854,4.271,2.224,31.72,0.0,4.27,10.75,5.0,2.0,5,7,200
33,36.4,0.022,0.71,0.0215,1.015,3.962,2.23,25.76,0.0,4.27,12.18,5.0,2.0,5,7,300
49,34.7,-0.105,-5.13,-0.1046,0.931,4.053,2.313,18.62,0.0,4.27,15.58,5.0,2.0,5,7,500
81,27.2,-0.738,-59.74,-0.7375,0.592,3.948,2.485,11.87,0.0,4.27,62.91,5.0,2.0,5,7,1000
20,30.0,-0.171,-3.43,-0.1714,0.862,3.56,1.77,4.95,0.0,4.27,6.61,5.0,3.0,5,1,100
23,30.4,-0.284,-6.52,-0.2835,0.797,3.661,2.009,4.81,0.0,4.27,10.19,5.0,3.0,5,1,150
26,26.9,-0.498,-12.95,-0.4982,0.664,3.661,2.031,4.26,0.0,4.27,15.06,5.0,3.0,5,1,200
33,27.3,-0.431,-14.21,-0.4307,0.682,3.385,1.862,3.89,0.0,4.27,16.32,5.0,3.0,5,1,300
49,28.6,-0.532,-26.05,-0.5316,0.642,3.337,2.079,3.8,0.0,4.27,26.64,5.0,3.0,5,1,500
81,24.7,-1.236,-100.11,-1.2359,0.354,2.741,2.54,2.67,0.0,4.27,100.11,5.0,3.0,5,1,1000
20,30.0,-0.401,-8.01,-0.4006,0.725,3.518,2.08,5.03,0.0,4.27,11.43,5.0,3.0,5,2,100
23,30.4,-0.483,-11.11,-0.4828,0.696,3.626,2.28,4.88,0.0,4.27,15.12,5.0,3.0,5,2,150
26,26.9,-0.73,-18.98,-0.7301,0.572,3.626,2.335,4.33,0.0,4.27,20.84,5.0,3.0,5,2,200
33,30.3,-0.359,-11.84,-0.3589,0.763,3.82,2.176,4.14,0.0,4.27,13.7,5.0,3.0,5,2,300
49,30.6,-0.565,-27.68,-0.5649,0.668,3.707,2.45,4.1,0.0,4.27,28.27,5.0,3.0,5,2,500
81,23.5,-1.296,-104.94,-1.2955,0.37,3.245,2.687,2.95,0.0,4.27,104.94,5.0,3.0,5,2,1000
20,30.0,-0.494,-9.88,-0.4941,0.685,3.576,2.238,5.59,0.0,4.27,13.55,5.0,3.0,5,3,100
